text,sentiment
mam sir namak h kaise bnega matar pulao,Neutral
jeera na dalne ka reason kya hai?,Neutral
ma am onion daal sakte hai ?????,Neutral
wahh madam ji,Positive
mujhe bhi khana hai matar pulao,Neutral
kya lemon juice v add kr skte hai??,Neutral
ma am rice or matar cups ke hisab se kitna hoga,Neutral
maine abhi ye pulao banaya aur acha bana lekin aapne zira dalne ko mana kyo keya i like zira ki khusboo i am missing zira now aab to pulao ban gaya aab mein kya karo,Negative
moisture waale hi chahiye thode oily,Neutral
i made this pulav first time following your recipe and my husband said pulav ho to aisa hotel ke tatse se bhi acha laga unhe thanks a lot,Positive
bahut badhiya hai try this recipe,Positive
majedar lajatdar aap ki ressipi,Positive
aap koun sa rice use karti hain,Neutral
mam aapne aapke veg pulao video me kaha tha ke high flame pe 1 siti abh kehrahe ho 2 siti main confused h gayi mam please suggest kijiye,Neutral
hi mamaap ne pulav ki har recipe me pani ka naap alag alag bataya he,Neutral
apka recipe simple rehti hai acha lagta hai varna etna tham jham dekhate hai baki youtubers,Positive
is video mein aapane bataya hai ki ek gilas chawal ke liye sa gilas pani but maine aapka dusra video dekha tha jismein ek gilas chawal ke liye dedh gilas pani bataya tha i m confuse,Neutral
aapka recipe mujhe bahut pasand aata hai didi,Positive
veeeeeery yammi bana hai mam zabardast thanks mam from qatar,Positive
mam main abhi pressure cooker main nahi balki open non stick bartan main bana raha hun tou rice main kitna pani dena hoga finally please abhi bata den?,Neutral
aapne namak nahi dala kya,Neutral
aap mere favorite ho,Positive
simply hi fi nhi bhut acche se ap batate ho,Positive
ap bhut achhe shef ho kavita ji,Positive
didi muje bi sikhna he khana bana na kase jaldi demag me yaad ho,Neutral
bahut hi mast pulav bana tha thank you ma am,Positive
buter use kr skte hy kya,Neutral
bahut badhiya,Positive
bina roast kiye banao,Neutral
mam yellow polao ar alu dam plz dekheye,Neutral
kabita ji apki her recipe itna easy hota hai ki biggner v bna le,Positive
mam apki wajah se mummy se gali nahi sun ni padti,Positive
jeera flavour deta hai,Neutral
1 no mam hme aapki recipes bhot pasnd aati hai,Positive
thanks mam first time mei ekdam best bane the,Positive
pyaz to daali nahi aapne,Neutral
madam aaj aap achhe lag rahe hai,Positive
amazing sbbb festival prr m yhi pulaoo bnati hu,Positive
this recipe i made it so many times it works like a charm itna simple magar utna hi tasty banta hain thank you kavita ji for this wonderful recipe ❤,Positive
main bhi aapke hi tip ke sath follow kiya aur bahut hi acchi bani thank you so much tips share karne ke liye,Positive
ma am matar ka colour change ho jata hai light green ho jata hai plz koyi tip bataiye ki colour change n ho,Neutral
medam maine banaya to rice patile chipk kyo gaye,Neutral
jeera kyon nahin dala aapane recipe mein mujhe yah puchna,Negative
hello ma am maine kl bnaya tha cooker me but unfortunately acha nahi bna tha sb hasne lge the,Negative
cashew skip ker sak te he,Neutral
pyaz koun dalega?,Negative
ma am jeera na daalne ki koi khaas wejeh hai kya?,Neutral
mam agr khada msaala garam msaala kisi ko nahi psnd h toh hum usko pees kr daal skte h ky usme koi problem toh nahi,Neutral
aapi aawaj bhut saachi haii,Positive
